觀測時間(hour),氣溫(℃),露點溫度(℃),相對溼度(%),AH(g/m³)
2016-09-24-16,30.3,24.3,70,21.727
2016-09-24-17,30.2,24.2,70,21.605
2016-09-24-18,29.1,23.9,74,21.297
2016-09-24-19,28.8,24.1,76,21.575
2016-09-24-20,28.4,22.7,71,19.855
2016-09-24-21,27.7,22.7,74,19.901
2016-09-24-22,27.6,22.7,75,19.907
2016-09-24-23,27.5,22.6,75,19.794
2016-09-24-24,26.9,22.6,77,19.833
2016-09-25-01,26.9,22.7,78,19.954
2016-09-25-02,26.8,22.8,79,20.082
2016-09-25-03,26.6,22.8,80,20.095
2016-09-25-04,26.2,22.5,80,19.759
2016-09-25-05,26.1,22.0,78,19.174
2016-09-25-06,26.0,21.8,78,18.947
2016-09-25-07,26.4,21.8,76,18.922
2016-09-25-08,27.9,22.7,73,19.888
2016-09-25-09,29.2,23.1,70,20.287
2016-09-25-10,30.5,23.5,66,20.694
2016-09-25-11,31.9,23.8,62,20.975
2016-09-25-12,32.7,24.1,61,21.3
2016-09-25-13,31.8,24.8,67,22.277
2016-09-25-14,32.3,25.4,67,23.049
2016-09-25-15,31.5,25.9,72,23.805
2016-09-25-16,31.1,25.5,72,23.278
2016-09-25-17,30.4,25.0,73,22.648
2016-09-25-18,29.2,24.2,75,21.676
2016-09-25-19,28.4,23.9,77,21.346
2016-09-25-20,27.6,23.9,80,21.403
2016-09-25-21,27.5,23.8,80,21.282
2016-09-25-22,27.4,23.8,81,21.289
2016-09-25-23,27.4,23.9,81,21.417
2016-09-25-24,27.5,24.1,82,21.668
2016-09-26-01,27.2,23.9,82,21.431
2016-09-26-02,27.3,24.1,83,21.683
2016-09-26-03,27.3,23.8,81,21.296
2016-09-26-04,27.0,24.0,84,21.575
2016-09-26-05,26.6,24.1,86,21.734
2016-09-26-06,26.8,24.1,85,21.719
2016-09-26-07,27.0,24.1,84,21.705
2016-09-26-08,27.9,24.6,82,22.297
2016-09-26-09,28.9,24.6,78,22.224
2016-09-26-10,29.8,24.4,73,21.894
2016-09-26-11,30.5,23.8,68,21.071
2016-09-26-12,31.4,24.3,66,21.649
2016-09-26-13,32.7,24.6,63,21.947
2016-09-26-14,32.4,24.1,62,21.321
2016-09-26-15,32.1,24.8,65,22.255
2016-09-26-16,31.1,24.7,69,22.195
2016-09-26-17,30.2,24.6,72,22.128
2016-09-26-18,29.7,24.7,75,22.298
2016-09-26-19,29.0,24.7,78,22.349
2016-09-26-20,28.4,24.7,80,22.394
2016-09-26-21,28.2,24.6,81,22.275
2016-09-26-22,28.2,24.2,79,21.748
2016-09-26-23,27.9,24.3,81,21.901
2016-09-26-24,27.9,23.8,78,21.253
2016-09-27-01,27.9,24.1,80,21.64
2016-09-27-02,28.1,24.3,80,21.886
2016-09-27-03,28.0,24.3,80,21.893
2016-09-27-04,27.9,24.4,81,22.032
2016-09-27-05,27.8,24.4,82,22.04
2016-09-27-06,28.0,24.4,81,22.025
2016-09-27-07,27.5,24.5,84,22.194
2016-09-27-08,27.1,24.6,86,22.357
2016-09-27-09,27.3,24.9,87,22.746
2016-09-27-10,27.4,24.9,86,22.738
2016-09-27-11,27.0,25.0,89,22.904
2016-09-27-12,27.2,25.0,88,22.889
2016-09-27-13,27.5,25.8,90,23.979
2016-09-27-14,26.5,25.1,92,23.08
2016-09-27-15,25.4,25.3,99,23.442
2016-09-27-16,25.1,25.1,100,23.188
2016-09-27-17,25.0,25.0,100,23.058
2016-09-27-18,24.7,24.6,99,22.537
2016-09-27-19,24.6,24.5,99,22.41
2016-09-27-20,24.8,24.6,99,22.529
2016-09-27-21,24.7,24.5,99,22.403
2016-09-27-22,24.6,24.3,98,22.143
2016-09-27-23,24.9,24.7,99,22.657
2016-09-27-24,25.2,25.0,99,23.043
2016-09-28-01,25.2,25.2,100,23.319
2016-09-28-02,25.3,25.1,99,23.172
2016-09-28-03,24.8,24.6,99,22.529
2016-09-28-04,25.0,25.0,100,23.058
2016-09-28-05,25.5,24.5,94,22.343
2016-09-28-06,25.4,24.7,96,22.619
2016-09-28-07,25.5,24.8,96,22.747
2016-09-28-08,25.0,24.9,99,22.921
2016-09-28-09,25.7,25.6,99,23.839
2016-09-28-10,24.9,24.6,98,22.522
2016-09-28-11,25.0,24.7,98,22.649
2016-09-28-12,24.8,24.7,99,22.664
2016-09-28-13,27.2,27.2,100,26.067
2016-09-28-14,28.4,26.8,91,25.361
2016-09-28-15,25.3,25.1,99,23.172
2016-09-28-16,25.1,25.0,99,23.05
2016-09-28-17,25.6,25.2,98,23.287
2016-09-28-18,25.4,24.9,97,22.89
2016-09-28-19,25.5,24.7,95,22.611
2016-09-28-20,25.8,25.0,95,22.996
2016-09-28-21,25.8,24.5,93,22.32
2016-09-28-22,25.2,23.9,93,21.575
2016-09-28-23,24.6,23.3,92,20.851
2016-09-28-24,24.4,23.3,94,20.865
2016-09-29-01,24.5,23.6,95,21.239
2016-09-29-02,24.7,23.6,94,21.225
2016-09-29-03,24.9,24.4,97,22.254
2016-09-29-04,24.9,24.5,98,22.388
2016-09-29-05,25.0,24.2,95,21.982
2016-09-29-06,25.3,24.5,95,22.358
2016-09-29-07,24.9,24.2,96,21.989
2016-09-29-08,25.1,24.5,96,22.373
2016-09-29-09,27.8,27.8,100,26.944
2016-09-29-10,27.2,26.3,95,24.723
2016-09-29-11,31.4,28.4,84,27.571
2016-09-29-12,31.7,26.7,75,24.939
2016-09-29-13,31.6,26.6,75,24.801
2016-09-29-14,31.6,26.1,73,24.08
2016-09-29-15,31.7,25.5,70,23.232
2016-09-29-16,30.4,24.7,72,22.246
2016-09-29-17,29.9,23.6,69,20.86
2016-09-29-18,29.0,24.2,75,21.691
2016-09-29-19,28.5,23.8,76,21.211
2016-09-29-20,28.3,23.9,77,21.353
2016-09-29-21,28.2,23.8,77,21.232
2016-09-29-22,28.2,24.0,78,21.489
2016-09-29-23,27.6,24.0,81,21.532
2016-09-29-24,27.3,23.7,81,21.168
2016-09-30-01,27.0,23.4,81,20.81
2016-09-30-02,26.9,23.3,81,20.691
2016-09-30-03,26.6,23.4,83,20.837
2016-09-30-04,26.6,23.4,83,20.837
2016-09-30-05,26.4,23.4,84,20.851
2016-09-30-06,26.1,23.3,85,20.747
2016-09-30-07,27.4,24.0,82,21.546
2016-09-30-08,28.5,24.4,79,21.988
2016-09-30-09,30.1,24.7,73,22.268
2016-09-30-10,31.7,25.1,68,22.686
2016-09-30-11,32.6,25.0,64,22.485
2016-09-30-12,31.6,24.5,66,21.895
2016-09-30-13,29.6,24.4,74,21.908
2016-09-30-14,24.9,22.9,89,20.333
2016-09-30-15,25.3,24.2,94,21.959
2016-09-30-16,25.9,24.9,94,22.852
2016-09-30-17,25.6,23.9,90,21.546
2016-09-30-18,25.5,24.6,95,22.477
2016-09-30-19,25.8,24.2,91,21.923
2016-09-30-20,25.8,24.5,93,22.32
2016-09-30-21,26.3,25.3,94,23.372
2016-09-30-22,26.1,25.0,94,22.973
2016-09-30-23,26.1,24.5,91,22.298
2016-09-30-24,25.7,24.4,93,22.194
2016-10-01-01,26.1,24.5,91,22.298
2016-10-01-02,25.9,24.1,90,21.784
2016-10-01-03,25.7,24.0,90,21.669
2016-10-01-04,25.8,24.1,90,21.792
2016-10-01-05,25.8,24.1,90,21.792
2016-10-01-06,25.9,24.1,90,21.784
2016-10-01-07,26.3,24.2,88,21.886
2016-10-01-08,27.3,24.6,85,22.342
2016-10-01-09,29.4,25.7,81,23.688
2016-10-01-10,28.8,24.5,78,22.098
2016-10-01-11,30.2,25.0,74,22.663
2016-10-01-12,30.4,24.9,73,22.513
2016-10-01-13,29.9,25.9,79,23.931
2016-10-01-14,29.1,26.5,86,24.859
2016-10-01-15,27.0,25.1,89,23.041
2016-10-01-16,26.0,24.3,90,22.04
2016-10-01-17,26.2,24.3,89,22.025
2016-10-01-18,26.3,25.2,94,23.233
2016-10-01-19,25.8,24.8,94,22.724
2016-10-01-20,26.1,24.5,91,22.298
2016-10-01-21,25.8,24.4,92,22.187
2016-10-01-22,26.2,24.3,89,22.025
2016-10-01-23,26.2,24.3,89,22.025
2016-10-01-24,25.8,24.2,91,21.923
2016-10-02-01,26.0,24.0,89,21.647
2016-10-02-02,26.0,23.5,86,21.005
2016-10-02-03,26.1,23.4,85,20.872
2016-10-02-04,26.3,23.4,84,20.858
2016-10-02-05,26.1,23.5,86,20.998
2016-10-02-06,25.8,23.6,88,21.147
2016-10-02-07,26.3,23.7,86,21.239
2016-10-02-08,27.7,24.3,82,21.915
2016-10-02-09,29.3,24.2,74,21.669
2016-10-02-10,30.1,23.6,68,20.847
2016-10-02-11,31.2,23.9,65,21.15
2016-10-02-12,31.8,23.7,62,20.856
2016-10-02-13,32.3,24.0,62,21.2
2016-10-02-14,32.0,23.2,60,20.223
2016-10-02-15,31.2,23.9,65,21.15
2016-10-02-16,31.0,23.5,64,20.66
2016-10-02-17,30.0,24.5,72,22.011
2016-10-02-18,29.1,24.5,76,22.076
2016-10-02-19,28.1,24.8,82,22.55
2016-10-02-20,28.1,24.7,82,22.416
2016-10-02-21,28.1,24.5,81,22.15
2016-10-02-22,27.6,24.1,81,21.661
2016-10-02-23,27.4,24.2,83,21.806
2016-10-02-24,27.0,24.3,85,21.966
2016-10-03-01,27.1,24.6,86,22.357
2016-10-03-02,27.0,24.5,86,22.231
2016-10-03-03,26.9,24.0,84,21.582
2016-10-03-04,26.8,23.7,83,21.203
2016-10-03-05,27.1,23.6,81,21.055
2016-10-03-06,26.8,24.1,85,21.719
2016-10-03-07,26.6,24.7,89,22.528
2016-10-03-08,27.4,24.9,86,22.738
2016-10-03-09,28.9,25.3,81,23.17
2016-10-03-10,29.6,24.7,75,22.305
2016-10-03-11,30.5,24.8,72,22.372
2016-10-03-12,30.4,25.3,74,23.056
2016-10-03-13,30.6,24.9,72,22.498
2016-10-03-14,31.1,24.5,68,21.931
2016-10-03-15,30.6,24.9,72,22.498
2016-10-03-16,29.9,24.7,74,22.283
2016-10-03-17,29.4,24.5,75,22.055
2016-10-03-18,28.2,24.2,79,21.748
2016-10-03-19,27.7,24.8,84,22.58
2016-10-03-20,27.7,24.6,83,22.312
2016-10-03-21,27.6,24.4,83,22.054
2016-10-03-22,27.3,24.4,84,22.076
2016-10-03-23,27.2,24.3,84,21.952
2016-10-03-24,27.4,24.5,84,22.201
2016-10-04-01,27.2,24.5,85,22.216
2016-10-04-02,27.1,24.2,84,21.828
2016-10-04-03,27.1,24.1,84,21.697
2016-10-04-04,26.8,23.6,83,21.076
2016-10-04-05,26.5,23.8,85,21.353
2016-10-04-06,26.3,23.6,85,21.111
2016-10-04-07,26.8,24.2,86,21.85
2016-10-04-08,27.2,23.9,82,21.431
2016-10-04-09,28.5,24.6,79,22.253
2016-10-04-10,29.9,24.9,75,22.55
2016-10-04-11,30.2,24.6,72,22.128
2016-10-04-12,29.7,24.2,72,21.64
2016-10-04-13,29.7,24.2,72,21.64
2016-10-04-14,30.1,24.2,71,21.612
2016-10-04-15,30.3,24.3,70,21.727
2016-10-04-16,30.0,24.1,71,21.49
2016-10-04-17,29.7,23.4,69,20.624
2016-10-04-18,29.5,23.2,69,20.39
2016-10-04-19,29.3,22.9,68,20.037
2016-10-04-20,29.1,23.0,70,20.172
2016-10-04-21,29.0,23.0,70,20.178
2016-10-04-22,29.2,22.7,68,19.802
2016-10-04-23,28.9,23.4,72,20.679
2016-10-04-24,28.6,23.2,73,20.451
2016-10-05-01,28.6,23.5,74,20.824
2016-10-05-02,28.3,24.0,78,21.482
2016-10-05-03,28.1,24.2,79,21.755
2016-10-05-04,27.7,23.8,79,21.267
2016-10-05-05,27.7,23.6,78,21.013
2016-10-05-06,27.0,23.8,83,21.317
2016-10-05-07,27.6,24.7,84,22.453
2016-10-05-08,28.3,24.5,80,22.135
2016-10-05-09,28.3,25.1,83,22.942
2016-10-05-10,30.6,24.6,70,22.099
2016-10-05-11,30.8,23.4,65,20.549
2016-10-05-12,31.8,24.6,66,22.012
2016-10-05-13,31.1,24.3,67,21.67
2016-10-05-14,31.2,24.3,67,21.663
2016-10-05-15,31.2,23.4,63,20.522
2016-10-05-16,31.0,23.5,64,20.66
2016-10-05-17,31.1,22.4,60,19.323
2016-10-05-18,29.8,24.8,75,22.424
2016-10-05-19,29.2,25.1,79,22.874
2016-10-05-20,28.6,24.4,78,21.981
2016-10-05-21,28.3,24.2,78,21.741
2016-10-05-22,28.2,24.1,78,21.618
2016-10-05-23,27.7,24.0,80,21.525
2016-10-05-24,27.6,23.8,80,21.274
2016-10-06-01,27.7,23.5,78,20.887
2016-10-06-02,27.6,23.4,78,20.768
2016-10-06-03,27.4,23.2,78,20.533
2016-10-06-04,26.4,23.1,82,20.477
2016-10-06-05,25.8,23.7,88,21.274
2016-10-06-06,25.5,23.9,91,21.553
2016-10-06-07,25.5,24.8,96,22.747
2016-10-06-08,25.9,24.6,93,22.446
2016-10-06-09,27.5,26.7,95,25.287
2016-10-06-10,28.9,25.9,84,24.01
2016-10-06-11,29.9,25.0,75,22.685
2016-10-06-12,30.8,24.1,68,21.433
2016-10-06-13,29.2,23.9,73,21.289
2016-10-06-14,29.4,24.2,74,21.662
2016-10-06-15,29.4,24.5,75,22.055
2016-10-06-16,28.8,24.8,79,22.498
2016-10-06-17,28.4,24.9,81,22.663
2016-10-06-18,28.6,24.5,79,22.113
2016-10-06-19,28.7,24.1,76,21.582
2016-10-06-20,28.5,24.6,79,22.253
2016-10-06-21,28.6,24.3,78,21.85
2016-10-06-22,28.5,24.3,78,21.857
2016-10-06-23,27.8,24.7,83,22.438
2016-10-06-24,27.5,24.8,85,22.595
2016-10-07-01,27.3,24.8,86,22.61
2016-10-07-02,26.9,24.7,88,22.506
2016-10-07-03,26.6,24.5,88,22.261
2016-10-07-04,26.1,24.3,90,22.032
2016-10-07-05,26.2,24.0,88,21.632
2016-10-07-06,26.0,23.6,87,21.132
2016-10-07-07,26.1,22.7,82,20.007
2016-10-07-08,27.2,23.0,78,20.299
2016-10-07-09,28.4,23.2,73,20.465
2016-10-07-10,30.7,24.0,68,21.312
2016-10-07-11,30.2,24.5,72,21.996
2016-10-07-12,30.9,24.3,68,21.685
2016-10-07-13,31.5,23.2,62,20.256
2016-10-07-14,31.1,23.2,63,20.283
2016-10-07-15,30.8,24.4,69,21.822
2016-10-07-16,28.9,24.6,78,22.224
2016-10-07-17,28.7,25.2,81,23.048
2016-10-07-18,27.4,22.9,76,20.163
2016-10-07-19,26.6,23.0,81,20.34
2016-10-07-20,26.8,22.8,79,20.082
2016-10-07-21,27.2,22.9,77,20.177
2016-10-07-22,26.6,23.0,81,20.34
2016-10-07-23,26.1,22.9,83,20.251
2016-10-07-24,26.0,23.3,85,20.754
2016-10-08-01,25.7,23.8,89,21.41
2016-10-08-02,26.2,24.1,88,21.763
2016-10-08-03,25.6,23.4,88,20.907
2016-10-08-04,25.6,23.4,88,20.907
2016-10-08-05,24.7,23.3,92,20.844
2016-10-08-06,24.6,23.3,92,20.851
2016-10-08-07,24.8,23.4,92,20.963
2016-10-08-08,25.2,23.9,93,21.575
2016-10-08-09,25.5,24.5,94,22.343
2016-10-08-10,25.6,24.5,94,22.335
2016-10-08-11,26.5,25.8,96,24.059
2016-10-08-12,25.6,24.4,93,22.202
2016-10-08-13,26.0,24.3,90,22.04
2016-10-08-14,25.9,24.5,92,22.313
2016-10-08-15,26.2,25.2,94,23.241
2016-10-08-16,26.4,24.9,91,22.814
2016-10-08-17,25.7,24.5,93,22.328
2016-10-08-18,25.8,24.6,93,22.454
2016-10-08-19,25.9,24.7,93,22.581
2016-10-08-20,25.7,24.9,95,22.867
2016-10-08-21,25.8,24.4,92,22.187
2016-10-08-22,25.8,24.2,91,21.923
2016-10-08-23,26.0,24.2,90,21.908
2016-10-08-24,25.9,24.4,91,22.18
2016-10-09-01,25.8,23.5,87,21.02
2016-10-09-02,24.7,23.6,94,21.225
2016-10-09-03,24.8,23.4,92,20.963
2016-10-09-04,25.0,23.5,91,21.076
2016-10-09-05,25.0,24.4,96,22.247
2016-10-09-06,24.8,23.9,95,21.604
2016-10-09-07,25.3,24.5,95,22.358
2016-10-09-08,25.2,24.0,93,21.705
2016-10-09-09,24.9,23.9,94,21.597
2016-10-09-10,24.6,23.7,95,21.36
2016-10-09-11,24.7,23.8,95,21.482
2016-10-09-12,24.9,24.0,95,21.727
2016-10-09-13,25.2,24.4,95,22.232
2016-10-09-14,25.8,25.2,96,23.272
2016-10-09-15,25.9,25.3,97,23.403
2016-10-09-16,25.6,25.1,97,23.149
2016-10-09-17,25.2,24.0,93,21.705
2016-10-09-18,24.9,23.2,90,20.705
2016-10-09-19,24.4,22.8,91,20.244
2016-10-09-20,24.1,22.5,91,19.899
2016-10-09-21,23.7,22.0,90,19.329
2016-10-09-22,23.4,21.5,89,18.766
2016-10-09-23,23.2,21.2,89,18.437
2016-10-09-24,23.0,20.9,88,18.113
2016-10-10-01,22.8,20.6,87,17.793
2016-10-10-02,22.8,20.6,87,17.793
2016-10-10-03,22.7,20.5,87,17.69
2016-10-10-04,22.5,20.4,88,17.593
2016-10-10-05,22.6,20.5,88,17.696
2016-10-10-06,22.4,20.8,91,18.038
2016-10-10-07,22.3,21.0,92,18.267
2016-10-10-08,22.1,21.1,94,18.392
2016-10-10-09,22.5,21.4,94,18.708
2016-10-10-10,23.1,22.1,94,19.486
2016-10-10-11,24.6,24.5,99,22.41
2016-10-10-12,25.5,24.2,93,21.945
2016-10-10-13,27.1,24.4,85,22.091
2016-10-10-14,28.5,24.5,79,22.12
2016-10-10-15,28.6,23.8,75,21.204
2016-10-10-16,28.5,23.4,74,20.706
2016-10-10-17,28.0,23.4,76,20.741
2016-10-10-18,26.9,23.5,82,20.942
2016-10-10-19,26.3,23.2,83,20.608
2016-10-10-20,25.6,22.8,85,20.162
2016-10-10-21,25.5,22.4,83,19.686
2016-10-10-22,24.9,22.2,85,19.487
2016-10-10-23,24.2,22.0,88,19.296
2016-10-10-24,24.2,21.9,87,19.179
2016-10-11-01,24.0,21.8,88,19.075
2016-10-11-02,23.8,21.6,88,18.856
2016-10-11-03,23.5,21.5,89,18.76
2016-10-11-04,23.4,21.5,89,18.766
2016-10-11-05,23.4,21.5,89,18.766
2016-10-11-06,23.3,21.6,90,18.888
2016-10-11-07,23.6,21.9,90,19.218
2016-10-11-08,24.9,22.6,87,19.966
2016-10-11-09,26.0,22.9,83,20.258
2016-10-11-10,27.4,23.7,80,21.161
2016-10-11-11,29.6,24.6,75,22.172
2016-10-11-12,30.5,24.7,71,22.239
2016-10-11-13,31.6,24.3,65,21.635
2016-10-11-14,31.0,24.2,67,21.548
2016-10-11-15,30.1,24.3,71,21.742
2016-10-11-16,28.6,26.0,86,24.176
2016-10-11-17,28.3,24.6,80,22.268
2016-10-11-18,27.7,24.2,81,21.784
2016-10-11-19,26.9,24.0,84,21.582
2016-10-11-20,26.6,23.8,85,21.345
2016-10-11-21,26.5,23.8,85,21.353
2016-10-11-22,26.4,23.8,86,21.36
2016-10-11-23,26.1,23.7,87,21.253
2016-10-11-24,26.0,23.8,88,21.388
2016-10-12-01,25.8,23.6,88,21.147
2016-10-12-02,25.7,23.5,88,21.027
2016-10-12-03,25.7,23.5,88,21.027
2016-10-12-04,25.6,23.6,89,21.161
2016-10-12-05,25.1,23.2,89,20.691
2016-10-12-06,25.0,23.3,90,20.823
2016-10-12-07,25.4,23.6,90,21.175
2016-10-12-08,25.8,23.5,87,21.02
2016-10-12-09,27.3,24.5,85,22.209
2016-10-12-10,29.1,24.9,78,22.61
2016-10-12-11,29.6,24.6,75,22.172
2016-10-12-12,30.9,25.1,71,22.746
2016-10-12-13,30.6,24.4,70,21.836
2016-10-12-14,31.0,23.5,64,20.66
2016-10-12-15,30.7,24.0,68,21.312
2016-10-12-16,29.8,23.9,71,21.247
2016-10-12-17,29.0,23.9,74,21.304
2016-10-12-18,27.9,23.4,77,20.747
2016-10-12-19,27.1,23.2,79,20.553
2016-10-12-20,26.4,22.7,80,19.987
2016-10-12-21,25.9,22.4,81,19.659
2016-10-12-22,25.4,22.0,81,19.218
2016-10-12-23,25.1,21.8,82,19.005
2016-10-12-24,24.6,21.5,83,18.691
2016-10-13-01,24.5,21.4,83,18.583
2016-10-13-02,24.6,21.5,83,18.691
2016-10-13-03,24.2,21.4,84,18.601
2016-10-13-04,24.2,21.4,84,18.601
2016-10-13-05,24.0,21.3,85,18.5
2016-10-13-06,23.8,21.2,85,18.4
2016-10-13-07,24.1,21.5,85,18.722
2016-10-13-08,24.8,21.9,84,19.14
2016-10-13-09,26.7,22.8,79,20.088
2016-10-13-10,28.5,23.7,75,21.084
2016-10-13-11,29.2,23.8,73,21.162
2016-10-13-12,30.3,24.0,69,21.34
2016-10-13-13,30.3,24.0,69,21.34
2016-10-13-14,30.4,23.9,68,21.205
2016-10-13-15,30.3,24.2,70,21.598
2016-10-13-16,29.2,23.8,73,21.162
2016-10-13-17,28.4,23.0,73,20.219
2016-10-13-18,27.8,22.6,73,19.774
2016-10-13-19,27.4,22.7,76,19.921
2016-10-13-20,26.8,22.5,77,19.72
2016-10-13-21,26.5,22.5,79,19.739
2016-10-13-22,26.3,22.2,78,19.396
2016-10-13-23,25.2,21.6,80,18.767
2016-10-13-24,24.8,21.6,82,18.793
2016-10-14-01,24.6,21.6,83,18.805
2016-10-14-02,24.5,21.5,83,18.697
2016-10-14-03,24.3,21.4,84,18.595
2016-10-14-04,24.2,21.4,84,18.601
2016-10-14-05,24.4,21.5,84,18.703
2016-10-14-06,24.2,21.4,84,18.601
2016-10-14-07,24.3,21.8,86,19.056
2016-10-14-08,25.5,22.3,83,19.566
2016-10-14-09,27.1,22.9,78,20.184
2016-10-14-10,28.5,23.3,74,20.582
2016-10-14-11,29.0,23.8,74,21.176
2016-10-14-12,29.7,24.1,72,21.511
2016-10-14-13,30.0,23.6,69,20.854
2016-10-14-14,30.3,23.1,65,20.214
2016-10-14-15,30.7,23.5,66,20.681
2016-10-14-16,30.5,23.7,67,20.945
2016-10-14-17,28.9,23.6,73,20.93
2016-10-14-18,28.2,23.3,75,20.602
2016-10-14-19,27.5,23.2,77,20.526
2016-10-14-20,26.7,23.0,80,20.333
2016-10-14-21,26.6,22.9,80,20.217
2016-10-14-22,26.0,22.7,82,20.014
2016-10-14-23,26.0,22.7,82,20.014
2016-10-14-24,25.8,22.8,84,20.149
2016-10-15-01,25.9,22.9,84,20.265
2016-10-15-02,25.3,22.7,86,20.061
2016-10-15-03,25.4,22.7,85,20.054
2016-10-15-04,25.6,22.9,85,20.285
2016-10-15-05,25.3,22.8,86,20.183
2016-10-15-06,25.0,22.7,87,20.081
2016-10-15-07,25.0,23.0,89,20.449
2016-10-15-08,26.2,23.5,85,20.991
2016-10-15-09,27.9,24.3,81,21.901
2016-10-15-10,29.4,24.3,74,21.792
2016-10-15-11,30.5,24.1,69,21.454
2016-10-15-12,31.1,22.7,61,19.678
2016-10-15-13,31.8,23.2,60,20.236
2016-10-15-14,31.9,23.3,60,20.352
2016-10-15-15,31.5,22.7,60,19.653
2016-10-15-16,29.9,24.0,71,21.368
2016-10-15-17,28.4,24.0,77,21.475
2016-10-15-18,27.8,24.2,81,21.777
2016-10-15-19,27.5,24.1,82,21.668
2016-10-15-20,27.3,23.5,80,20.915
2016-10-15-21,27.6,23.3,77,20.643
2016-10-15-22,27.4,23.8,81,21.289
2016-10-15-23,27.1,23.9,83,21.438
2016-10-15-24,26.9,23.8,83,21.324
2016-10-16-01,26.7,23.6,83,21.083
2016-10-16-02,26.8,23.4,82,20.824
2016-10-16-03,26.4,23.8,86,21.36
2016-10-16-04,26.4,23.8,86,21.36
2016-10-16-05,26.0,23.8,88,21.388
2016-10-16-06,26.0,23.7,87,21.26
2016-10-16-07,26.0,23.7,87,21.26
2016-10-16-08,27.7,24.5,83,22.179
2016-10-16-09,29.1,25.0,79,22.745
2016-10-16-10,29.7,24.7,75,22.298
2016-10-16-11,29.8,24.7,74,22.29
2016-10-16-12,30.5,25.2,73,22.912
2016-10-16-13,31.2,25.0,70,22.588
2016-10-16-14,30.3,23.8,68,21.085
2016-10-16-15,30.3,23.8,68,21.085
2016-10-16-16,30.1,24.5,72,22.004
2016-10-16-17,29.3,24.5,75,22.062
2016-10-16-18,28.5,24.3,78,21.857
2016-10-16-19,28.1,24.1,79,21.625
2016-10-16-20,28.3,23.8,77,21.225
2016-10-16-21,27.9,24.3,81,21.901
2016-10-16-22,27.5,24.6,84,22.327
2016-10-16-23,27.1,24.3,85,21.959
2016-10-16-24,27.2,24.2,84,21.821
2016-10-17-01,27.2,24.3,84,21.952
2016-10-17-02,27.1,24.4,85,22.091
2016-10-17-03,26.4,24.1,87,21.748
2016-10-17-04,26.4,24.1,87,21.748
2016-10-17-05,26.6,23.9,85,21.474
2016-10-17-06,26.3,24.2,88,21.886
2016-10-17-07,26.3,24.5,90,22.283
2016-10-17-08,27.1,24.7,87,22.491
2016-10-17-09,27.6,25.1,86,22.995
2016-10-17-10,30.1,25.7,77,23.633
2016-10-17-11,30.7,24.6,70,22.092
2016-10-17-12,31.3,25.9,73,23.821
2016-10-17-13,30.5,25.6,75,23.463
2016-10-17-14,30.0,25.6,77,23.501
2016-10-17-15,29.8,24.9,75,22.558
2016-10-17-16,29.6,24.7,75,22.305
2016-10-17-17,29.1,24.4,76,21.945
2016-10-17-18,28.4,24.5,79,22.128
2016-10-17-19,28.5,24.3,78,21.857
2016-10-17-20,28.2,24.6,81,22.275
2016-10-17-21,28.3,24.2,78,21.741
2016-10-17-22,28.3,24.5,80,22.135
2016-10-17-23,28.4,24.0,77,21.475
2016-10-17-24,28.0,24.4,81,22.025
2016-10-18-01,27.8,24.6,83,22.305
2016-10-18-02,27.7,24.5,83,22.179
2016-10-18-03,27.6,24.6,84,22.32
2016-10-18-04,27.4,24.4,84,22.069
2016-10-18-05,27.4,24.1,82,21.676
2016-10-18-06,27.5,23.9,81,21.41
2016-10-18-07,28.4,24.6,80,22.26
2016-10-18-08,29.5,24.8,76,22.446
2016-10-18-09,30.7,24.5,70,21.96
2016-10-18-10,31.1,24.8,69,22.328
2016-10-18-11,31.2,24.7,68,22.188
2016-10-18-12,30.2,25.2,75,22.934
2016-10-18-13,29.5,25.4,79,23.262
2016-10-18-14,29.5,25.5,79,23.401
2016-10-18-15,29.6,25.5,79,23.393
2016-10-18-16,28.9,25.1,80,22.896
2016-10-18-17,28.8,24.7,79,22.364
2016-10-18-18,28.3,24.5,80,22.135
2016-10-18-19,27.9,24.3,81,21.901
2016-10-18-20,27.7,24.3,82,21.915
2016-10-18-21,27.6,24.0,81,21.532
2016-10-18-22,27.6,24.2,82,21.792
2016-10-18-23,27.3,24.2,83,21.813
2016-10-18-24,27.3,24.1,83,21.683
2016-10-19-01,27.1,24.0,83,21.568
2016-10-19-02,27.0,24.1,84,21.705
2016-10-19-03,27.2,24.2,84,21.821
2016-10-19-04,26.5,24.1,87,21.741
2016-10-19-05,26.3,24.0,87,21.625
2016-10-19-06,26.2,24.0,88,21.632
2016-10-19-07,26.7,24.3,87,21.988
2016-10-19-08,28.1,24.8,82,22.55
2016-10-19-09,28.8,24.7,79,22.364
2016-10-19-10,31.1,25.4,72,23.14
2016-10-19-11,29.7,24.8,75,22.431
2016-10-19-12,30.8,25.2,72,22.889
2016-10-19-13,30.6,25.3,73,23.041
2016-10-19-14,31.3,25.7,72,23.54
2016-10-19-15,30.1,25.4,76,23.216
2016-10-19-16,29.9,25.0,75,22.685
2016-10-19-17,29.0,24.6,77,22.216
2016-10-19-18,28.6,24.6,79,22.246
2016-10-19-19,28.1,24.4,80,22.018
2016-10-19-20,27.9,24.4,81,22.032
2016-10-19-21,28.0,24.5,81,22.157
